number,name,original_name,sex,year_of_birth,nationality,background
1,"Gagarin, Yuri",ГАГАРИН Юрий Алексеевич,M,1934,RU,M
2,"Titov, Gherman",ТИТОВ Герман Степанович,M,1935,RU,M
3,"Glenn, John H., Jr.","Glenn, John H., Jr.",M,1921,US,M
5,"Nikolayev, Andriyan",НИКОЛАЕВ Андриян Григорьевич,M,1929,RU,M
6,"Popovich, Pavel",ПОПОВИЧ Павел Романович,M,1930,RU,M
7,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",M,1923,US,M
8,"Cooper, L. Gordon, Jr.","Cooper, L. Gordon, Jr.",M,1927,US,M
9,"Bykovsky, Valery",БЫКОВСКИЙ Валерий Федорович,M,1934,RU,M
10,"Tereshkova, Valentina",ТЕРЕШКОВА Валентина Владимировна,F,1937,RU,M
11,"Komarov, Vladimir",КОМАРОВ Владимир Михайлович,M,1927,RU,M
12,"Feoktistov, Konstantin",ФЕОКТИСТОВ Константин Петрович,M,1926,RU,C
13,"Yegorov, Boris",ЕГОРОВ Борис Борисович,M,1937,RU,C
14,"Belyayev, Pavel",БЕЛЯЕВ Павел Иванович,M,1925,RU,M
15,"Leonov, Aleksei",ЛЕОНОВ Алексей Архипович,M,1934,RU,M
16,"Grissom, Virgil I.","Grissom, Virgil I.",M,1926,US,M
17,"Young, John W.","Young, John W.",M,1930,US,M
18,"McDivitt, James A.","McDivitt, James A.",M,1929,US,M
19,"White, Edward H., II","White, Edward H., II",M,1930,US,M
20,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",M,1930,US,M
21,"Borman, Frank","Borman, Frank",M,1928,US,M
22,"Lovell, James A., Jr.","Lovell, James A., Jr.",M,1928,US,M
23,"Stafford, Thomas P.","Stafford, Thomas P.",M,1930,US,M
24,"Armstrong, Neil A.","Armstrong, Neil A.",M,1930,US,C
25,"Scott, David R.","Scott, David R.",M,1932,US,M
26,"Cernan, Eugene A.","Cernan, Eugene A.",M,1934,US,M
27,"Collins, Michael","Collins, Michael",M,1930,US,C
28,"Gordon, Richard F., Jr.","Gordon, Richard F., Jr.",M,1929,US,M
29,"Aldrin, Edwin Eugene, Jr.","Aldrin, Edwin Eugene, Jr.",M,1930,US,M
30,"Eisele, Donn F.","Eisele, Donn F.",M,1930,US,M
31,"Cunningham, Ronnie Walter","Cunningham, Ronnie Walter",M,1932,US,C
100,"Savinykh, Viktor",Виктор Петрович Савиных,M,1940,RU,C
101,Jugderdemidiin Gurragchaa,Жүгдэрдэмидийн Гүррагчаа,M,1947,MN,C
102,"Crippen, Robert L.","Crippen, Robert L.",M,1937,US,M
103,Dumitru Prunariu,Dumitru-Dorin Prunariu,M,1952,RO,C
104,"Engle, Joe H.","Engle, Joe H.",M,1932,US,M
105,"Truly, Richard H.","Truly, Richard H.",M,1937,US,M
106,"Fullerton, Charles G.","Fullerton, Charles G.",M,1936,US,M
107,"Berezovoy, Anatoly",Анатолий Николаевич Березовой,M,1942,RU,M
