astronaut_id,mission_title,role,year_of_join
1,Vostok-6,pilot,1961
2,Vostok-6,pilot,1961
3,AMC 16,pilot,1962
3,ST5,PSP,1998
5,Vostok-6,pilot,1962
5,Soyuz-9,pilot,1970
6,Vostok-6,pilot,1962
6,Soyuz-14,commander,1974
7,Gemini 6,commander,1965
7,Apollo 7,commander,1968
8,Gemini 5,commander,1965
9,Vostok-5,pilot,1963
9,Soyuz-22,commander,1976
9,Soyuz-29,commander,1978
10,Vostok-6,pilot,1963
11,Voskhod,commander,1964
11,Soyuz-1,commander,1967
12,Voskhod,MSP,1964
13,Voskhod,MSP,1964
14,Voskhod-2,commander,1965
15,Voskhod-2,pilot,1965
15,Soyuz-19,commander,1975
16,Gemini 3,commander,1965
17,Gemini 3,pilot,1965
17,Gemini 10,pilot,1966
17,Apollo 10,pilot,1969
17,Apollo 16,commander,1972
17,TSS-1R,commander,1981
17,SES-9,commander,1983
18,Gemini 4,commander,1965
18,Apollo 9,commander,1969
19,Gemini 4,pilot,1965
20,Gemini 5,pilot,1965
20,Gemini 11,commander,1966
20,Apollo 12,commander,1969
20,Skylab 2,commander,1973
21,Gemini 7,commander,1965
21,Apollo 8,commander,1968
22,Gemini 7,pilot,1965
22,Gemini 12,commander,1966
22,Apollo 8,pilot,1968
22,Apollo 13,commander,1970
23,Gemini 6,pilot,1965
23,Gemini 9,commander,1966
23,Apollo 10,commander,1969
23,ASTP,commander,1975
24,Gemini 8,commander,1966
24,Apollo 11,commander,1969
25,Gemini 8,pilot,1966
25,Apollo 9,pilot,1969
25,Apollo 15,commander,1971
26,Gemini 9,pilot,1966
26,Apollo 10,pilot,1969
26,Apollo 17,commander,1972
27,Gemini 10,pilot,1966
27,Apollo 11,pilot,1969
28,Gemini 11,pilot,1966
28,Apollo 12,pilot,1969
29,Gemini 12,pilot,1966
29,Apollo 11,pilot,1969
30,Apollo 7,pilot,1968
31,Apollo 7,pilot,1968
100,Salyut-7,flight engineer,1985
101,Soyuz-39,flight engineer,1981
102,TSS-1R,pilot,1981
102,TESS,commander,1983
102,TSS-1R,commander,1984
102,GSAT-14,commander,1984
103,Soyuz-40,MSP,1981
104,STP S26,commander,1981
104,ISS 5A.1,commander,1985
105,STP S26,pilot,1981
105,ETS-8,commander,1983
106,HST SM-3A,pilot,1982
106,SES-15,commander,1985
107,Salyut-7,commander,1982
108,Salyut-7,MSP,1982
108,STP S26,MSP,1997
109,HST SM-4,pilot,1982
109,TSS-1R,commander,1984
109,ATS 6,commander,1985
110,Salyut-7,flight engineer,1982
32,Soyuz-3,commander,1968
33,Apollo 8,pilot,1968
34,Soyuz-4,commander,1969
34,Soyuz-8,commander,1969
34,Soyuz-10,commander,1971
35,Soyuz-5,commander,1969
35,Soyuz-21,commander,1976
36,Soyuz-4,flight engineer,1969
36,Soyuz-8,flight engineer,1969
36,Soyuz-10,flight engineer,1971
37,Soyuz-4,MSP,1969
38,Apollo 9,pilot,1969
39,Soyuz-6,commander,1969
40,Soyuz-6,flight engineer,1969
40,Soyuz-19,flight engineer,1975
40,Soyuz-35,commander,1980
41,Soyuz-7,commander,1969
41,Soyuz-16,commander,1974
42,Soyuz-7,flight engineer,1969
42,Soyuz-11,flight engineer,1971
43,Soyuz-7,MSP,1969
43,Soyuz-24,commander,1977
43,Soyuz-37,commander,1980
44,Apollo 12,pilot,1969
44,Skylab 3,commander,1973
45,Apollo 13,pilot,1970
46,Apollo 13,pilot,1970
47,Soyuz-9,flight engineer,1970
47,Soyuz-18,flight engineer,1975
48,Apollo 14,commander,1971
49,Apollo 14,pilot,1971
50,Apollo 14,pilot,1971
51,Soyuz-10,flight engineer,1971
51,Soyuz-16,flight engineer,1974
51,Soyuz-33,commander,1979
52,Soyuz-11,commander,1971
53,Soyuz-11,flight engineer,1971
54,Apollo 15,pilot,1971
55,Apollo 15,pilot,1971
56,Apollo 16,pilot,1972
56,HST SM-4,commander,1982
57,Apollo 16,pilot,1972
58,Apollo 17,pilot,1972
59,Apollo 17,pilot,1972
60,Skylab 2,pilot,1973
60,STP S26,commander,1983
61,Skylab 2,MSP,1973
62,Skylab 3,pilot,1973
62,HST SM-3A,commander,1982
63,Skylab 3,MSP,1973
63,SES-9,MSP,1983
64,Soyuz-12,commander,1973
65,Soyuz-12,flight engineer,1973
65,Soyuz-26,flight engineer,1978
65,Soyuz T-3,flight engineer,1980
66,Skylab 4,commander,1974
67,Skylab 4,pilot,1973
68,Skylab 4,MSP,1973
69,Soyuz-13,commander,1973
69,Salyut-4,commander,1975
69,Salyut-6,commander,1978
70,Soyuz-13,flight engineer,1973
70,Salyut-7,flight engineer,1982
71,Soyuz-14,flight engineer,1974
72,Soyuz-15,commander,1974
73,Soyuz-15,flight engineer,1974
74,Salyut-4,commander,1975
74,Salyut-6,commander,1978
75,Salyut-4,flight engineer,1975
75,Salyut-6,flight engineer,1977
75,Soyuz-7,flight engineer,1985
76,ASTP,pilot,1975
76,ST5,commander,1982
76,SBS 1,commander,1984
76,ST5,commander,1990
77,ASTP,pilot,1975
78,Soyuz-21,flight engineer,1976
79,Soyuz-22,flight engineer,1976
79,Soyuz T-2,flight engineer,1980
80,Soyuz-23,commander,1976
81,Soyuz-23,flight engineer,1976
82,Soyuz-24,flight engineer,1977
83,Soyuz-25,commander,1977
83,Salyut-6,commander,1978
83,Salyut-6,commander,1981
84,Soyuz-25,flight engineer,1977
84,Salyut-6,flight engineer,1979
84,Salyut-6,flight engineer,1980
84,TSS-1R,MSP,1998
85,Soyuz-26,commander,1977
85,Soyuz-38,commander,1980
86,Soyuz-26,commander,1978
86,Soyuz-39,commander,1981
86,Salyut-7,commander,1982
86,Salyut-7,commander,1984
86,Salyut-7,commander,1985
87,Soyuz-28,pilot,1978
88,Salyut-6,flight engineer,1978
88,Salyut-7,flight engineer,1982
89,Soyuz-30,pilot,1978
90,Soyuz-31,MSP,1978
91,Salyut-6,commander,1979
91,Salyut-7,commander,1983
91,X-3,commander,1988
92,Soyuz-33,pilot,1979
93,Salyut-6,commander,1980
93,Salyut-6,commander,1981
93,Salyut-7,commander,1982
94,Soyuz-35,pilot,1980
95,Salyut-7,commander,1980
95,Salyut-7,commander,1984
96,Salyut-6,MSP,1980
97,Soyuz-38,pilot,1980
98,Salyut-6,commander,1980
98,Salyut-7,commander,1984
98,A-1,commander,1986
99,Salyut-6,MSP,1980
99,Soyuz T-8,flight engineer,1983
99,Salyut-7,flight engineer,1984
99,P78-1,flight engineer,1995
100,Salyut-6,flight engineer,1981
110,Soyuz T-8,MSP,1983
110,P74-1,flight engineer,1993
111,Salyut-7,MSP,1982
111,Salyut-7,flight engineer,1984
112,ST5,pilot,1982
112,SBS 1,commander,1985
