astronaut_id,selection_id,year_of_selection
1,TsPK-1,1960
2,TsPK-1,1960
3,NASA Astronaut Group 1,1959
3,NASA Astronaut Group 2,1959
5,TsPK-1,1960
5,TsPK-2,1960
6,TsPK-1,1960
6,TsPK-2,1960
7,1960 NASA group 1,1959
7,1961 NASA group 1,1959
8,NASA- 1,1959
9,TsPK-1,1960
9,TsPK-2,1960
9,TsPK-3,1960
10,VVS Women,1962
11,TsPK-1,1960
11,TsPK-2,1960
12,Voskhod-1 / TsKBEM-1,1964
13,Voskhod-1,1964
14,TsPK-1,1960
15,TsPK-1,1960
15,TsPK-2,1960
16,NASA Astronaut Group 2,1959
17,1962 NASA group 2,1962
17,1963 NASA group 2,1962
17,1964 NASA group 2,1962
17,1965 NASA group 2,1962
17,1966 NASA group 2,1962
17,1967 NASA group 2,1962
18,NASA- 2,1962
19,1962 NASA group 2,1962
20,NASA- 2,1962
21,NASA- 2,1962
22,NASA- 2,1962
23,1996 NASA group,1962
24,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962
25,1963 NASA group 3,1963
26,NASA- 3,1963
27,NASA- 3,1963
28,NASA Astronaut Group 3,1963
28,NASA Astronaut Group 4,1963
29,NASA- 3,1963
30,NASA- 3,1963
31,NASA- 3,1963
100,NPOE-4,1978
101,1978 Intercosmos Group,1978
102,NASA- 7,1969
103,1978 Intercosmos Group,1978
104,NASA- 5,1966
105,1965 USAF MOL group 1,1969
106,"USAF MOL Group 2 
 NASA- 7",1969
107,TsPK-5,1970
108,CNES-1,1980
109,NASA Astronaut Group 7,1969
110,NPOE-4,1978
32,TsPK-2,1964
33,NASA- 3,1963
34,TsPK-2,1963
34,TsPK-3,1963
34,TsPK-4,1963
35,TsPK-1,1960
36,Korolyov-Group / Mishin-Group / TsKBEM-1,1968
36,Korolyov-Group / Mishin-Group / TsKBEM-2,1968
36,Korolyov-Group / Mishin-Group / TsKBEM-3,1968
37,TsPK-1,1960
38,1963 NASA group 3,1963
39,TsPK-1,1960
40,Korolyov-Group / Mishin-Group / TsKBEM-1,1968
40,Korolyov-Group / Mishin-Group / TsKBEM-2,1968
40,Korolyov-Group / Mishin-Group / TsKBEM-3,1968
41,TsPK-2,1963
41,TsPK-3,1963
42,Korolyov-Group / Mishin-Group / TsKBEM-1,1968
43,TsPK-1,1960
43,TsPK-2,1960
43,TsPK-3,1960
44,1963 NASA group 3,1963
45,1966 NASA group 5,1966
46,NASA Astronaut Group 5,1966
47,Mishin-Group / TsKBEM-1,1968
47,Mishin-Group / TsKBEM-2,1968
48,1959 NASA group 1,1959
49,1966 NASA group 5,1966
50,NASA- 5,1966
51,Korolyov-Group / Mishin-Group / TsKBEM-1,1968
51,Korolyov-Group / Mishin-Group / TsKBEM-2,1968
51,Korolyov-Group / Mishin-Group / TsKBEM-3,1968
52,TsPK-2,1963
53,TsKBEM-1,1968
54,1966 NASA group 5,1966
55,NASA- 5,1966
56,NASA- 5,1966
57,NASA- 5,1966
58,NASA- 5,1966
59,NASA-4,1965
60,1966 NASA group 5,1966
61,NASA- 4,1965
62,NASA- 5,1966
63,NASA Astronaut Group 4,1965
63,NASA Astronaut Group 5,1965
64,Voskhod-1 / TsPK-3,1964
65,Korolyov-Group / Mishin-Group / TsKBEM-1,1968
65,Korolyov-Group / Mishin-Group / TsKBEM-2,1968
65,Korolyov-Group / Mishin-Group / TsKBEM-3,1968
66,NASA- 5,1966
67,NASA-5,1966
