name,manufacturer,mass,impulse,thrust,isp,burn_duration,chambers
SRM,THKU,590000.0,,11790.0,267.3,123.0,1.0
SRMU,ATKP,350000.0,,7500.0,285.6,137.8,1.0
UA1207,UTC,319300.0,,7116.9,272.0,120.0,1.0
EAP MPS P238,EUROPK,268000.0,,5000.0,275.4,129.0,1.0
EAP MPS P240,EUROPK,277500.0,,5000.0,275.4,129.0,1.0
UA1206,UTC,251400.0,,6227.0,265.0,114.0,1.0
UA1205,UTC,226200.0,,5293.3,263.0,115.0,1.0
S200,VSSC,207000.0,,6000.0,274.0,105.0,1.0
S139,VSSC,168000.0,,4430.0,269.0,105.0,1.0
S125,VSSC,157300.0,486000.0,4801.0,266.0,93.0,1.0
P120C,AVIO,153000.0,368900.0,4500.0,278.5,133.0,1.0
P80FW,AVIO,97131.0,242721.0,2100.0,280.0,106.8,1.0
M-14,NISST,84000.0,,3786.0,276.0,49.0,1.0
H-II SRB-A3,NISST,76500.0,,2305.0,283.6,120.0,1.0
H-II SRB-A,NISST,75000.0,,2250.0,280.0,100.0,1.0
H-II SRB,NISST,70400.0,,1550.0,273.0,94.0,1.0
15D305,YUZH,53700.0,,2060.0,,,1.0
3D65,YUZH,53700.0,,2060.0,,,1.0
15D206,YUZH,53700.0,,2060.0,,,1.0
GEM-63XL,NGISH,53400.0,,2026.0,275.0,84.0,1.0
GEM-63,OATKH,49300.0,,1663.0,275.0,94.0,1.0
Castor 120,THKU,53100.0,,1604.0,280.0,83.4,1.0
SR118,THKU,48625.0,,1711.0,281.4,78.8,1.0
GEM-60,OATKH,46200.0,,1361.0,275.0,90.0,1.0
AJ-60A,AJSP,46200.0,,1361.0,275.0,90.0,1.0
CZ-11-1,SLREC,40000.0,,,248.0,,1.0
D-5-1,THKU,39100.0,,,,64.0,1.0
M-25,NISST,38000.0,,1240.0,288.0,71.0,1.0
Zefiro-40C,AVIO,39270.0,103600.0,1120.0,293.5,92.5,1.0
CZ-6A Booster,ARMT,35000.0,,1200.0,,,1.0
DF-31-1,ARMT,35000.0,,,,,1.0
DF-41-1,ARMT,35000.0,,,,,1.0
15D23P,ARSL,34550.0,,981.0,,75.4,1.0
15D23,ARSL,34550.0,,893.0,,75.4,1.0
M-24,NISST,34000.0,,1246.0,288.0,71.0,1.0
M-13,NISST,33407.0,,954.0,239.0,70.0,1.0
GEM-60,ATKH,33200.0,,758.0,275.0,90.0,1.0
Agni III,DRDO,33000.0,,1040.0,237.0,75.0,1.0
MSBS 501,G2P,30000.0,,900.0,,60.0,1.0
SR119,AJSP,27669.0,,1365.0,304.0,54.0,1.0
Castor 30XL,THKU,27400.0,58000.0,350.0,,166.0,1.0
M-10,NISST,26555.0,,737.0,219.0,61.0,1.0
RD RT-21 (1),MITT,26000.0,,,,63.0,1.0
15Zh58A,MITT,26000.0,,980.0,263.0,60.0,1.0
Zefiro 23,AVIO,26563.0,67776.0,935.0,289.0,71.7,1.0
15D339,YUZH,25000.0,,1050.0,,,1.0
15D207,YUZH,25000.0,,1050.0,,,1.0
15D290,YUZH,25000.0,,1050.0,,,1.0
R-39 St 2,YUZH,25000.0,,1050.0,,,1.0
M55A1,THKU,22930.0,54730.0,792.0,266.1,59.3,4.0
TU-122,THKU,23240.0,,891.0,,60.0,4.0
TU-122-ATK,ATKP,23240.0,,891.0,,60.0,4.0
SEP 401,SEP,22500.0,,900.0,,60.0,1.0
LEO-46,AJSP,22102.0,56360.0,1265.4,,76.0,1.0
GEM-46,ATKH,19040.0,45730.0,608.1,274.0,75.2,1.0
DF-26-1,ARMT,19000.0,,,239.7,65.0,1.0
RT-1-1,OKB1,19000.0,,900.0,,30.0,1.0
Hyperbola-1 M1,ARMT,18000.0,,770.0,245.0,65.0,1.0
Zefiro,FIATA,17260.0,41830.0,590.0,271.0,71.0,1.0
M-35,NISST,17200.0,,445.0,295.0,129.0,1.0
Ceres-1 M1,XIDO,17000.0,,590.0,,74.0,1.0
15D15,YUZH,16700.0,,600.0,260.0,65.0,4.0
DF-21-1,ARMT,16621.0,,,239.7,65.0,1.0
Orion 50SXL,ATKH,16400.0,43586.0,594.0,295.0,73.4,1.0
Orion 50SXLG,ATKH,16400.0,43586.0,594.0,295.0,73.4,1.0
Orion 50SXLT,ATKH,16400.0,43586.0,594.0,295.0,73.4,1.0
SICBM,THKU,16100.0,,979.0,,40.0,1.0
SEP 902,SEP,16000.0,,540.0,,,4.0
3D17,PERM,16000.0,,579.0,,84.0,1.0
RD-866,YUZH,15000.0,,206.0,,,1.0
CZ-11-2,CALT,15000.0,,,,,1.0
5S47,KAZSOY,15000.0,,,,5.0,1.0
A-350 Booster,KAZSOY,15000.0,,,,5.0,1.0
51T6 Motor,KAZSOY,15000.0,,,,5.0,1.0
Nudol' St 1,ALMAN,15000.0,,,,5.0,1.0
TX-780XL,THKX,14851.0,,599.8,269.0,60.0,1.0
Algol 3A,UTC,14136.0,32040.0,477.0,258.2,78.0,1.0
Castor 30,THKU,14035.0,35200.0,259.0,301.0,136.0,1.0
Agni III S2,DRDO,14000.0,,315.0,294.0,110.0,1.0
5S24,KAZSOY,14000.0,,,,,1.0
Castor 30B,THKU,13970.0,37300.0,293.4,304.0,127.0,1.0
Orion 50S,ATKH,13420.0,35108.0,485.0,294.4,72.4,1.0
M-23,NISST,13100.0,,524.0,282.0,73.0,1.0
GEM-40,ATKH,13080.0,31600.0,499.2,274.0,63.3,1.0
15Zh58B,MITT,13000.0,,490.0,280.0,64.0,1.0
ATSM-13,IAI,13000.0,,775.0,250.0,55.0,1.0
Hyperbola-1 M2,HEXI,13000.0,,597.0,282.0,,1.0
Sejjil,IR,13000.0,,560.0,230.0,45.0,1.0
PAP,FIATA,12600.0,,650.0,241.0,42.0,1.0
PSOM-XL,VSSC,12400.0,20700.0,677.0,262.0,58.0,1.0
C4-1,HERC,12100.0,,,,,1.0
9M76,VOTK,11900.0,,,,,1.0
9M76B,VOTK,11900.0,,,,,1.0
D-5-2,HERC,11800.0,,,,65.0,1.0
ASLV AS-1,VSSC,11800.0,,702.0,259.0,45.0,1.0
S9,VSSC,11800.0,,702.0,259.0,45.0,1.0
ASLV SRM,VSSC,11600.0,,422.0,253.0,49.0,1.0
M-34c,NISST,11600.0,,294.0,301.0,102.0,1.0
TX-780,THKX,11600.0,26460.0,433.7,237.8,56.2,1.0
Agni,DRDO,11500.0,,700.0,,45.0,1.0
TX-859,THKX,11476.0,26150.0,429.0,,60.9,1.0
15D24P2,ARSL,11280.0,,440.0,,60.6,4.0
M-34,NISST,11100.0,30000.0,,,,1.0
A3P-1,AJSP,11100.0,,,,,1.0
15D27,TSKB7,11000.0,,412.0,,60.0,4.0
PSOM,VSSC,11000.0,20700.0,677.0,262.0,44.2,1.0
RSA-3-2,HOUW,10971.0,,477.0,277.0,52.0,1.0
SLV-3-1,VSSC,10800.0,,422.0,253.0,49.0,1.0
SLV-3-1/D4,VSSC,10800.0,,590.0,253.0,55.0,1.0
Algol IIC,AJSP,10795.0,24390.0,436.7,258.9,76.1,1.0
Algol IIB,AJSP,10759.0,24352.0,449.2,258.9,80.0,1.0
Algol I,AJSP,10710.0,18240.0,458.6,214.0,40.0,1.0
Algol IA,AJSP,10710.0,18240.0,458.6,214.0,40.0,1.0
Algol IB,AJSP,10710.0,18240.0,458.6,214.0,40.0,1.0
Algol IC,AJSP,10710.0,18240.0,458.6,214.0,40.0,1.0
Algol IIA,AJSP,10709.0,24337.0,465.1,258.3,68.2,1.0
Algol ID,AJSP,10700.0,18100.0,413.0,,44.0,1.0
Orbus 21D,UTC,10619.0,28140.0,187.0,293.0,150.0,1.0
TX-526,THKX,10534.0,23760.0,428.0,,53.9,1.0
H-II SSB,NISST,10500.0,,338.0,267.0,66.0,1.0
RSA-3-1,HOUW,10215.0,,451.0,265.0,52.0,1.0
A2P-1,AJSP,10100.0,,,,,1.0
SEP 903,SEP,10000.0,,440.0,,,4.0
SEP 904,SEP,10000.0,,450.0,,50.0,4.0
SEP 901,SEP,10000.0,,440.0,,50.0,4.0
KPN-Solid1,KP,10000.0,,,,,1.0
Agni V S3,DRDO,10000.0,,315.0,294.0,110.0,1.0
MSBS 502,G2P,10000.0,,300.0,,70.0,1.0
C3-1,HERC,10000.0,,,,,1.0
DF-31-2,ARMT,10000.0,,,,,1.0
DF-41-2,ARMT,10000.0,,,,,1.0
R-39 St 3,MAK,10000.0,,,,,1.0
53T6,PERM,10000.0,,,,,1.0
5Ya26,KAZSOY,10000.0,,,,,1.0
RD RT-15-2,OKB1,10000.0,,500.0,,30.0,1.0
M-20,NISST,9850.0,,285.0,261.0,66.0,1.0
M-22,NISST,9833.0,,285.0,273.0,70.0,1.0
Zefiro 9A,AVIO,9730.0,,221.0,294.0,110.0,1.0
15D24,ARSL,9600.0,,432.0,,59.0,1.0
ATSM-9,IAI,9100.0,,,,,1.0
TX-500,THKXM,9000.0,,2000.0,,,1.0
S-43,IAE,8820.0,19500.0,308.0,279.1,62.0,1.0
SEP 402,SEP,8800.0,,300.0,,70.0,1.0
RD RT-21 St2,MITT,8700.0,,,,,1.0
RD RT-21-3,MITT,8700.0,,1000.0,,245.0,1.0
DF-21-2,ARMT,8686.0,,,286.4,62.0,1.0
TR-1,NASDA,8558.0,32000.0,608.0,271.6,52.0,1.0
TR-1A,NASDA,8558.0,32000.0,716.0,271.6,49.0,1.0
PS3,VSSC,8400.0,28000.0,324.0,294.0,83.0,1.0
A1P-1,AJSP,8330.0,,,,,1.0
C4-2,HERC,8000.0,,,,,1.0
Ceres-1 M2,XIDO,8000.0,,274.0,285.8,70.0,1.0
SR120,HERC,7983.0,,329.0,306.0,62.0,1.0
ST-735-1,ISAS,7400.0,,250.0,,49.0,1.0
SR19,AJSP,7280.0,,270.0,287.5,65.5,1.0
SR19-ATK,ATKP,7033.0,,268.0,287.5,65.5,1.0
JL1-1,CALT,7000.0,,,,,1.0
JL1-2,CALT,7000.0,,,,,1.0
C3-2,HERC,7000.0,,,,,1.0
Alfa,BPD,6500.0,,250.0,,57.0,1.0
R-31 St 2,PERM,6500.0,,233.0,,73.6,1.0
TX-454,THKXM,6454.0,,,,,1.0
DF-15,ARMT,6200.0,,,,,1.0
LPC-A92,LPC,6000.0,,121.0,,89.0,1.0
Rita II,SEP,6000.0,,320.0,,52.0,1.0
15Zh58V,MITT,6000.0,,245.0,280.0,56.0,1.0
FG-46,HEXI,5985.0,,292.0,177.0,87.0,1.0
L735,NISST,5982.0,,363.0,215.0,28.8,1.0
M56A1 PRP,AJSP,5480.0,12400.0,202.0,267.3,61.0,4.0
DF-11,SANJ,5400.0,,93.2,,,1.0
SQ/DF-11,SANJ,5400.0,,93.2,,,1.0
S-40,IAE,5340.0,11600.0,191.0,270.8,58.2,1.0
TX-135,THKX,5295.0,,2000.0,,4.5,1.0
M56A1,AJSP,5240.0,12400.0,207.0,267.3,61.0,4.0
SB-735,NISST,5124.0,,328.0,266.0,38.0,1.0
Stonechat II,RPEW,5090.0,9610.0,242.0,293.0,32.8,1.0
MSBS 503,SNECPS,5000.0,,100.0,,40.0,1.0
Shourya,DRDO,5000.0,,,,,1.0
Sejjil St 2,IR,5000.0,,560.0,230.0,20.0,1.0
15Zh59A,VOTK,5000.0,,,,,1.0
15Zh59B,VOTK,5000.0,,,,,1.0
KPN-Solid2,KP,5000.0,,,,,1.0
K-4 Booster,DRDO,5000.0,,,,,1.0
K-4 Stage 2,DRDO,5000.0,,,,,1.0
X-260,ABL,4900.0,,,,,1.0
SLV-3-2,VSSC,4900.0,,267.0,266.9,45.0,1.0
SLV-3-2/D4,VSSC,4900.0,,267.0,266.9,40.0,1.0
Stonechat I,RPEW,4780.0,8340.0,232.0,258.2,32.3,1.0
15D94,ARSL,4640.0,,176.0,271.0,49.0,1.0
CPKM,ARMT,4635.0,11360.0,222.8,280.0,65.2,1.0
Star 63F,THKE,4591.0,12535.0,104.7,297.1,120.0,1.0
15D92,TSKB7,4500.0,,,,,1.0
DF-16,PLA,4500.0,,,,,1.0
ASLV AS-2,VSSC,4400.0,,304.0,275.9,36.0,1.0
TX-354-3,THKX,4427.0,10301.0,275.1,281.9,39.0,1.0
XM-33-20-4,THKX,4360.0,7268.0,276.0,224.0,27.0,1.0
Orion 50XL,ATKH,4331.0,11218.0,196.0,289.0,72.5,1.0
Orion 50XLT,ATKH,4331.0,11218.0,196.0,289.0,72.5,1.0
TX-354-4,THKX,4320.0,9732.0,259.0,,37.0,1.0
A1P-2,AJSP,4300.0,,,,,1.0
X-250,ABL,4200.0,,,,,1.0
Agni St2,DRDO,4200.0,,,,60.0,1.0
Pershing 2 St1,HERC,4110.0,,172.0,276.0,58.0,1.0
P4,SEP,4000.0,12000.0,176.0,,65.0,1.0
Ceres-1 M3,XIDO,4000.0,,86.0,287.0,69.0,1.0
Hyunmoo 1,ADD,4000.0,,,,,1.0
Hyunmoo-2B,ADD,4000.0,,,,,1.0
Oka,KBM,4000.0,,,,,1.0
Shaheen-2,PKNDC,4000.0,,,,,1.0
ZQ-1-3,ARMT,4000.0,,,,,1.0
ST-735-2,ISAS,4000.0,,250.0,,,1.0
TX-33,THKX,4000.0,7311.0,240.0,254.3,27.4,1.0
XM-33E2,THKX,4000.0,7311.0,240.0,254.3,27.4,1.0
XM-33E3,THKX,4000.0,7311.0,240.0,254.3,27.4,1.0
XM-33E5,THKX,4000.0,7311.0,240.0,254.3,27.4,1.0
XM-33E6,THKX,4000.0,7311.0,240.0,254.3,27.4,1.0
XM-33E8,THKX,3970.0,8272.0,236.7,254.3,35.3,1.0
Orbus 6E,UTC,3865.0,,76.5,303.8,104.0,1.0
Hyperbola-1 M3,HEXI,3850.0,,195.0,290.0,,1.0
Pollux,THKX,3742.0,,222.0,,27.0,1.0
SR73,AJSP,3655.0,,152.0,285.0,61.0,1.0
SR73-ATK,ATKP,3655.0,,152.0,285.0,61.0,1.0
M-3B,NISST,3603.0,,132.0,293.1,87.0,1.0
NAL-735,NISST,3500.0,,250.0,,49.0,1.0
Star 63D,THKU,3500.0,9046.0,84.8,283.0,118.0,1.0
15D25,ARSL,3500.0,,215.0,,45.0,1.0
LEO-7,AJSP,3587.0,9266.0,105.1,,57.4,1.0
TX-238,THKXM,3492.0,,,,,1.0
Orion LAS-AM,ATKP,3464.0,,1780.0,,2.5,1.0
Orion 50,ATKH,3370.0,8666.0,138.0,292.3,73.3,1.0
KM-V2b,NISST,3300.0,,99.8,301.0,90.0,1.0
9M723,VOTK,3300.0,,,,,1.0
SICBM2,AJSP,3260.0,12000.0,267.0,,44.0,1.0
TX-20,THKX,3200.0,,220.0,,23.8,1.0
