launch_id,date,launch_vehicle,organisation,type,success_or_fail
1963-002,1963-01-7,Thor Agena D,USAF,Orbital,Success
1963-003,1963-01-16,Thor Agena B,USAF,Orbital,Success
1963-004,1963-02-14,Thor Delta B,NASA,Orbital,Success
1963-005,1963-02-19,Scout X-3M,AFSC,Orbital,Success
1963-006,1963-03-21,Vostok 8A92,RVSN,Orbital,Success
1963-007,1963-04-1,Thor Agena D,USAF,Orbital,Success
1963-008,1963-04-2,Molniya 8K78,RVSN,DeepSpaceMission,Success
1963-009,1963-04-3,Thor Delta B,NASA,Orbital,Success
1963-010,1963-04-13,Kosmos 63S1,RVSN,Orbital,Success
1963-011,1963-04-22,Vostok 8A92,RVSN,Orbital,Success
1963-012,1963-04-28,Vostok 8A92,RVSN,Orbital,Success
1963-013,1963-05-7,Thor Delta B,NASA,Orbital,Success
1963-014,1963-05-9,Atlas Agena B,AFSC,Orbital,Success
1963-015,1963-05-15,Atlas D,USAF,Orbital,Success
1963-016,1963-05-18,Thor SLV-2A Agena D,USAF,Orbital,Success
1963-017,1963-05-22,Kosmos 63S1,RVSN,Orbital,Success
1963-018,1963-05-24,Vostok 8A92,RVSN,Orbital,Success
1963-019,1963-06-12,Thor SLV-2A Agena D,USAF,Orbital,Success
1963-020,1963-06-14,Vostok 8K72K,RVSN,Orbital,Success
1963-021,1963-06-15,Thor Agena D,USAF,Orbital,Fail
1963-022,1963-06-16,Scout X-3,AFSC,Orbital,Success
1963-023,1963-06-16,Vostok 8K72K,RVSN,Orbital,Success
1963-024,1963-06-19,Thor Delta B,NASA,Orbital,Success
1963-025,1963-06-27,Thor SLV-2A Agena D,USAF,Orbital,Success
1963-026,1963-06-28,Scout X-4,NASA,Orbital,Success
1963-027,1963-06-29,Thor SLV-2A Agena B,USAF,Orbital,Success
1963-029,1963-07-19,Thor Agena D,USAF,Orbital,Success
1963-030,1963-07-19,Atlas Agena B,AFSC,Orbital,Success
1963-031,1963-07-26,Thor Delta B,NASA,Orbital,Success
1963-032,1963-07-31,Thor SLV-2A Agena D,USAF,Orbital,Success
1963-033,1963-08-6,Kosmos 63S1,RVSN,Orbital,Success
1963-034,1963-08-25,Thor SLV-2A Agena D,USAF,Orbital,Success
1963-035,1963-08-29,Thor SLV-2 Agena D,USAF,Orbital,Success
1963-037,1963-09-23,Thor SLV-2A Agena D,USAF,Orbital,Success
1963-038,1963-09-28,Thor Ablestar,USAF,Orbital,Success
1963-039,1963-10-17,Atlas Agena D,USAF,Orbital,Success
1963-040,1963-10-18,Vostok 8A92,RVSN,Orbital,Success
1963-042,1963-10-29,Thor SLV-2A Agena D,USAF,Orbital,Success
1963-043,1963-11-1,Sputnik 11A59,RVSN,Orbital,Success
1963-044,1963-11-11,Molniya 8K78,RVSN,Orbital,Fail
1963-045,1963-11-16,Voskhod 11A57,RVSN,Orbital,Success
1963-046,1963-11-27,Thor Delta C,NASA,Orbital,Success
1963-047,1963-11-27,Atlas Centaur,NASA,Orbital,Success
1963-048,1963-11-27,Thor SLV-2 Agena D,USAF,Orbital,Success
1963-049,1963-12-5,Thor Ablestar,USAF,Orbital,Success
1963-050,1963-12-13,Kosmos 63S1,RVSN,Orbital,Success
1963-052,1963-12-19,Vostok 8A92,RVSN,Orbital,Success
1963-053,1963-12-19,Scout X-4,AFSC,Orbital,Success
1963-054,1963-12-21,Thor Delta B,NASA,Orbital,Success
1963-055,1963-12-21,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-001,1964-01-11,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-002,1964-01-19,Thor SLV-2 Agena D,USAF,Orbital,Success
1964-003,1964-01-21,Thor Delta B,NASA,Orbital,Success
1964-004,1964-01-25,Thor SLV-2 Agena B,USAF,Orbital,Success
1964-005,1964-01-29,Saturn I,NASA,Orbital,Success
1964-006,1964-01-30,Vostok 8K72K,RVSN,Orbital,Success
1964-007,1964-01-30,Atlas Agena B,USAF,DeepSpaceMission,Success
1964-008,1964-02-15,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-010,1964-02-27,Kosmos 63S1,RVSN,Orbital,Success
1964-011,1964-02-28,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-013,1964-03-18,Kosmos 63S1,RVSN,Orbital,Success
1964-014,1964-03-27,Molniya 8K78,RVSN,Orbital,Fail
1964-015,1964-03-27,Scout X-3,NASA,Orbital,Success
1964-016,1964-04-2,Molniya 8K78,RVSN,DeepSpaceMission,Success
1964-017,1964-04-4,Vostok 8A92,RVSN,Orbital,Success
1964-018,1964-04-8,Titan II GLV,NASA,Orbital,Success
1964-019,1964-04-12,Sputnik 11A59,RVSN,Orbital,Success
1964-021,1964-04-25,Vostok 8A92,RVSN,Orbital,Success
1964-022,1964-04-27,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-023,1964-05-18,Voskhod 11A57,RVSN,Orbital,Success
1964-025,1964-05-28,Saturn I,NASA,Orbital,Success
1964-026,1964-06-4,Scout X-4,AFSC,Orbital,Success
1964-027,1964-06-4,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-028,1964-06-6,Kosmos 63S1,RVSN,Orbital,Success
1964-029,1964-06-10,Vostok 8A92,RVSN,Orbital,Success
1964-030,1964-06-13,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-031,1964-06-18,Thor SLV-2 Agena D,USAF,Orbital,Success
1964-032,1964-06-19,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-033,1964-06-23,Vostok 8A92,RVSN,Orbital,Success
1964-034,1964-07-1,Voskhod 11A57,RVSN,Orbital,Success
1964-035,1964-07-2,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-037,1964-07-10,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-038,1964-07-10,Vostok 8K72K,RVSN,Orbital,Success
1964-039,1964-07-15,Vostok 8A92,RVSN,Orbital,Success
1964-040,1964-07-17,Atlas Agena D,USAF,Orbital,Success
1964-041,1964-07-28,Atlas Agena B,USAF,DeepSpaceMission,Success
1964-042,1964-07-30,Kosmos 63S1,RVSN,Orbital,Success
1964-043,1964-08-5,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-044,1964-08-14,Vostok 8A92,RVSN,Orbital,Success
1964-046,1964-08-18,Kosmos 65S3,RVSN,Orbital,Success
1964-047,1964-08-19,Thor Delta D,NASA,Orbital,Success
1964-048,1964-08-21,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-049,1964-08-22,Molniya 8K78,RVSN,Orbital,Success
1964-050,1964-08-22,Kosmos 63S1,RVSN,Orbital,Success
1964-051,1964-08-25,Scout X-4,AFSC,Orbital,Success
1964-052,1964-08-28,Thor SLV-2 Agena B,USAF,Orbital,Success
1964-053,1964-08-28,Vostok 8A92M,RVSN,Orbital,Success
1964-054,1964-09-5,Atlas Agena B,USAF,Orbital,Success
1964-055,1964-09-13,Voskhod 11A57,RVSN,Orbital,Success
1964-056,1964-09-14,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-057,1964-09-18,Saturn I,NASA,Orbital,Success
1964-059,1964-09-24,Vostok 8A92,RVSN,Orbital,Success
1964-060,1964-10-4,Thor Delta C,NASA,Orbital,Success
1964-061,1964-10-5,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-062,1964-10-6,Voskhod 11A57,RVSN,Orbital,Success
1964-063,1964-10-6,Thor Ablestar,USAF,Orbital,Success
1964-064,1964-10-10,Scout X-4,AFSC,Orbital,Success
1964-065,1964-10-12,Voskhod 11A57,RVSN,Orbital,Success
1964-066,1964-10-14,Vostok 8A92,RVSN,Orbital,Success
1964-067,1964-10-17,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-069,1964-10-24,Kosmos 63S1,RVSN,Orbital,Success
1964-070,1964-10-28,Vostok 8A92,RVSN,Orbital,Success
1964-071,1964-11-2,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-072,1964-11-4,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-073,1964-11-5,Atlas Agena D,USAF,DeepSpaceMission,Success
1964-074,1964-11-6,Scout X-4,NASA,Orbital,Success
1964-075,1964-11-18,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-076,1964-11-21,Scout X-4,AFSC,Orbital,Success
1964-077,1964-11-28,Atlas Agena D,USAF,DeepSpaceMission,Success
1964-078,1964-11-30,Molniya 8K78,RVSN,DeepSpaceMission,Success
1964-080,1964-12-9,Kosmos 63S1,RVSN,Orbital,Success
1964-082,1964-12-11,Atlas Centaur,NASA,Orbital,Success
1964-083,1964-12-13,Thor Ablestar,USAF,Orbital,Success
1964-084,1964-12-15,Scout X-4,NASA,Orbital,Success
1964-085,1964-12-19,Thor SLV-2A Agena D,USAF,Orbital,Success
1964-086,1964-12-21,Thor Delta C,NASA,Orbital,Success
1964-087,1964-12-21,Thor SLV-2A Agena D,USAF,Orbital,Success
1965-100,1965-12-4,Titan II GLV,NASA,Orbital,Success
1965-001,1965-01-11,Vostok 8A92,RVSN,Orbital,Success
1965-101,1965-12-6,Scout X-4,AFSC,Orbital,Success
1965-002,1965-01-15,Thor SLV-2A Agena D,USAF,Orbital,Success
1965-102,1965-12-9,Thor SLV-2A Agena D,USAF,Orbital,Success
1965-003,1965-01-19,Thor MG-18,S4300,Orbital,Success
1965-103,1965-12-10,Vostok 8A92,RVSN,Orbital,Success
1965-004,1965-01-22,Thor Delta C,NASA,Orbital,Fail
1965-104,1965-12-15,Titan II GLV,NASA,Orbital,Success
1965-105,1965-12-16,Thor Delta E,NASA,DeepSpaceMission,Success
1965-006,1965-01-30,Kosmos 63S1,RVSN,Orbital,Success
1965-106,1965-12-17,Vostok 8A92M,RVSN,Orbital,Success
1965-007,1965-02-3,Thor Delta C,NASA,Orbital,Success
1965-107,1965-12-21,Kosmos 63S1,RVSN,Orbital,Success
1965-008,1965-02-11,Titan IIIA,USAF,Orbital,Success
1965-108,1965-12-21,Titan IIIC,AFSC,Orbital,Success
1965-009,1965-02-16,Saturn I,NASA,Orbital,Success
1965-109,1965-12-22,Scout A,AFSC,Orbital,Success
1965-010,1965-02-17,Atlas Agena B,USAF,DeepSpaceMission,Success
1965-110,1965-12-24,Thor SLV-2A Agena D,USAF,Orbital,Success
1965-011,1965-02-21,Kosmos 65S3,RVSN,Orbital,Success
1965-111,1965-12-27,Soyuz 11A510,RVSN,Orbital,Success
1965-012,1965-02-22,Voskhod 11A57,RVSN,Orbital,Success
1965-112,1965-12-28,Kosmos 65S3,RVSN,Orbital,Success
1965-013,1965-02-25,Thor SLV-2A Agena D,USAF,Orbital,Success
1965-014,1965-02-26,Vostok 8A92M,RVSN,Orbital,Success
1965-015,1965-03-7,Voskhod 11A57,RVSN,Orbital,Success
1965-016,1965-03-9,Thor SLV-2 Agena D,USAF,Orbital,Success
1965-017,1965-03-11,Thor Ablestar,USAF,Orbital,Success
1965-018,1965-03-12,Molniya 8K78,RVSN,Orbital,Fail
1965-020,1965-03-15,Kosmos 65S3,RVSN,Orbital,Success
1965-021,1965-03-18,Thor MG-18,S4300,Orbital,Success
1965-022,1965-03-18,Voskhod 11A57,RVSN,Orbital,Success
1965-023,1965-03-21,Atlas Agena B,USAF,DeepSpaceMission,Success
