name,manufacturer,min_stage,max_stage,length,diameter,launch_mass,TO_thrust,class
N-1 11A52,OKB1,1.0,3.0,105.3,14.0,2788.0,45300.0,O
Saturn V,MSFC,1.0,4.0,110.6,10.06,2913.0,34030.0,O
Starship V1.0,SPX,1.0,1.0,50.0,9.0,1470.0,12000.0,R
Starship V1.0/Super Heavy,SPX,1.0,2.0,118.0,9.0,5020.0,72500.0,O
Space Shuttle,RWI,1.0,3.0,38.1,8.4,2040.0,28200.0,O
Energiya,NPOE,0.0,1.0,58.7,7.75,2524.0,35139.0,O
Energiya/Buran,NPOE,0.0,1.0,58.7,7.75,2524.0,35139.0,O
UR-500,KHRU,1.0,2.0,39.0,7.4,595.0,9500.0,O
UR-500K,KHRU,1.0,3.0,50.0,7.4,694.0,9500.0,O
UR-500K/Blok D,KHRU,1.0,6.0,55.4,7.4,691.5,9500.0,O
Proton-K,KHRU,1.0,3.0,50.0,7.4,694.0,9500.0,O
Proton-K/D,KHRU,1.0,6.0,55.4,7.4,691.5,9500.0,O
Proton-K/D-1,KHRU,1.0,6.0,55.4,7.4,691.5,9500.0,O
Proton-K/D-2,KHRU,1.0,6.0,55.4,7.4,691.5,9500.0,O
Proton-K/DM,KHRU,1.0,6.0,57.2,7.4,691.5,9500.0,O
Proton-K/DM-2,KHRU,1.0,6.0,57.2,7.4,691.5,9500.0,O
Proton-M/DM-2,KHRU,1.0,6.0,53.0,7.4,712.8,10000.0,O
Proton-M/DM-3,KHRU,1.0,6.0,53.0,7.4,712.8,10000.0,O
Proton-K/DM-2M,KHRU,1.0,6.0,57.2,7.4,691.5,9500.0,O
Proton-K/17S40,KHRU,1.0,6.0,57.2,7.4,691.5,9500.0,O
Proton-K/Briz-M,KHRU,1.0,4.0,53.0,7.4,700.0,9500.0,O
Proton-M/Briz-M,KHRU,1.0,4.0,53.0,7.4,712.8,10000.0,O
Saturn C-1,MSFC,1.0,3.0,49.6,6.6,420.0,5768.0,O
Saturn I,MSFC,1.0,3.0,50.4,6.6,420.0,5768.0,O
Saturn IB,MSFC,1.0,2.0,68.1,6.53,587.3,7290.0,O
Uprated Saturn I,MSFC,1.0,2.0,68.1,6.53,587.3,7290.0,O
ATB,RSLP,1.0,1.0,16.0,5.5,140.6,1711.0,T
Ariane 5G,EADSL,0.0,2.0,45.7,5.4,746.0,11400.0,O
Ariane 5G+,EADSL,0.0,2.0,45.7,5.4,746.0,11400.0,O
Ariane 5GS,EADSL,0.0,2.0,45.7,5.4,746.0,11400.0,O
Ariane 5ES/ATV,EADSL,0.0,2.0,45.7,5.4,746.0,11400.0,O
Ariane 5ES,EADSL,0.0,2.0,45.7,5.4,746.0,11400.0,O
Ariane 5ECA,EADSL,0.0,2.0,57.7,5.4,780.0,11400.0,O
Ariane 5ECA+,EADSL,0.0,2.0,57.7,5.4,780.0,11400.0,O
H-IIB,JAXA,0.0,2.0,56.6,5.2,551.0,9000.0,O
Chang Zheng 5,CALT,0.0,2.0,59.5,5.0,643.0,1180.0,O
Chang Zheng 5B,CALT,0.0,1.0,59.5,5.0,643.0,1180.0,O
Chang Zheng 5/YZ-2,CALT,0.0,3.0,59.5,5.0,643.0,1180.0,O
Delta 4H,BOHB,0.0,2.0,70.7,5.0,733.4,8674.0,O
Delta 4H/Star 48BV,BOHB,0.0,3.0,70.7,5.0,733.4,8674.0,O
Delta 4M,BOHB,1.0,2.0,63.0,5.0,249.5,2891.0,O
"Delta 4M+(4,2)",BOHB,0.0,2.0,66.2,5.0,292.7,4200.0,O
"Delta 4M+(5,4)",BOHB,0.0,2.0,70.7,5.0,404.6,5860.0,O
"Delta 4M+(5,2)",BOHB,0.0,2.0,70.7,5.0,404.6,5860.0,O
DC-XA,MDAC,1.0,1.0,12.6,4.95,19.0,242.0,T
DC-X,MDAC,1.0,1.0,12.6,4.95,18.8,242.0,T
H-II,MHITO,0.0,2.0,49.0,4.0,260.0,3960.0,O
H-IIA 202,NASDA,0.0,2.0,53.0,4.0,285.0,5600.0,O
H-IIA 204,NASDA,0.0,2.0,53.0,4.0,285.0,5600.0,O
H-IIA 2022,NASDA,-1.0,2.0,57.0,4.0,348.0,8580.0,O
H-IIA 2024,NASDA,-1.0,2.0,57.0,4.0,348.0,8580.0,O
GSLV Mk III,ISRO,0.0,2.0,42.4,4.0,629.0,,O
Little Joe II,GDA,0.0,1.0,26.2,3.96,26.2,1482.0,T
