launch_id,mission_id
1963-002,CORONA 59/9051
1963-003,OPS 0180
1963-004,Syncom 1
1963-005,OPS 0240 (AF-3)
1963-006,Kosmos-13
1963-007,CORONA 62/9053
1963-008,Luna-4
1963-009,Explorer 17
1963-010,Kosmos-14
1963-011,Kosmos-15
1963-012,Kosmos-16
1963-013,Telstar 2
1963-014,Midas 7
1963-015,MA-9
1963-016,CORONA 64/LANYARD 2
1963-017,Kosmos-17
1963-018,Kosmos-18
1963-019,CORONA 65/9054
1963-020,Vostok-5
1963-021,POPPY 2/NRL Comp 3
1963-022,Transit VA-3 (N-3)
1963-023,Vostok-6
1963-024,Tiros 7
1963-025,CORONA 66/9056
1963-026,"GRS (PL-19, CRL-1)"
1963-027,OPS 1440
1963-029,CORONA 67/9057
1963-030,Midas 9
1963-031,Syncom 2
1963-032,CORONA 68/LANYARD 3
1963-033,Kosmos-19
1963-034,CORONA 69/1001
1963-035,CORONA 70/9058A
1963-037,CORONA 71/1002
1963-038,Transit VBN-1
1963-039,Vela 1A/1B
1963-040,Kosmos-20
1963-042,CORONA 72/9059A
1963-043,Polyot
1963-044,Kosmos-21
1963-045,Kosmos-22
1963-046,Explorer 18
1963-047,Centaur R&D
1963-048,CORONA 74/9061
1963-049,Transit VBN-2
1963-050,Kosmos-23
1963-052,Kosmos-24
1963-053,Explorer 19
1963-054,Tiros 8
1963-055,CORONA 75/9062
1964-001,POPPY 3/NRL Comp 4
1964-002,OPS 3367A/3367B
1964-003,Relay 2
1964-004,Echo 2
1964-005,SA-5
1964-006,Elektron-1/2
1964-007,Ranger 6
1964-008,CORONA 76/1004
1964-010,Kosmos-25
1964-011,OPS 3722
1964-013,Kosmos-26
1964-014,Kosmos-27
1964-015,Ariel 2
1964-016,Zond
1964-017,Kosmos-28
1964-018,Gemini 1
1964-019,Polyot-2
1964-021,Kosmos-29
1964-022,CORONA 78/1005
1964-023,Kosmos-30
1964-025,AS-106
1964-026,Transit VC (N-4)
1964-027,CORONA 79/1006
1964-028,Kosmos-31
1964-029,Kosmos-32
1964-030,CORONA 80/9063A
1964-031,OPS 4467A/4467B
1964-032,CORONA 81/1007
1964-033,Kosmos-33
1964-034,Kosmos-34
1964-035,OPS 3395
1964-037,CORONA 82/1008
1964-038,Elektron-3/4
1964-039,Kosmos-35
1964-040,Vela 2A/2B
1964-041,Ranger 7
1964-042,Kosmos-36
1964-043,CORONA 83/1009
1964-044,Kosmos-37
1964-046,Kosmos-38/40
