,astronaut_id,selection_id,year_of_selection
0,1,TsPK-1,1960
1,2,TsPK-1,1960
2,3,NASA Astronaut Group 1,1959
3,3,NASA Astronaut Group 2,1959
4,5,TsPK-1,1960
5,5,TsPK-2,1960
6,6,TsPK-1,1960
7,6,TsPK-2,1960
8,7,1960 NASA group 1,1959
9,7,1961 NASA group 1,1959
10,8,NASA- 1,1959
11,9,TsPK-1,1960
12,9,TsPK-2,1960
13,9,TsPK-3,1960
14,10,VVS Women,1962
15,11,TsPK-1,1960
16,11,TsPK-2,1960
17,12,Voskhod-1 / TsKBEM-1,1964
18,13,Voskhod-1,1964
19,14,TsPK-1,1960
20,15,TsPK-1,1960
21,15,TsPK-2,1960
22,16,NASA Astronaut Group 2,1959
23,17,1962 NASA group 2,1962
24,17,1963 NASA group 2,1962
25,17,1964 NASA group 2,1962
26,17,1965 NASA group 2,1962
27,17,1966 NASA group 2,1962
28,17,1967 NASA group 2,1962
29,18,NASA- 2,1962
30,18,NASA- 2,1962
31,19,1962 NASA group 2,1962
32,20,NASA- 2,1962
33,20,NASA- 2,1962
34,20,NASA- 2,1962
35,20,NASA- 2,1962
36,21,NASA- 2,1962
37,21,NASA- 2,1962
38,22,NASA- 2,1962
39,22,NASA- 2,1962
40,22,NASA- 2,1962
41,22,NASA- 2,1962
42,23,1996 NASA group,1962
43,23,1996 NASA group,1962
44,23,1996 NASA group,1962
45,23,1996 NASA group,1962
46,24,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962
47,24,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962
48,25,1963 NASA group 3,1963
49,25,1963 NASA group 3,1963
50,25,1963 NASA group 3,1963
51,26,NASA- 3,1963
52,26,NASA- 3,1963
53,26,NASA- 3,1963
54,27,NASA- 3,1963
55,27,NASA- 3,1963
56,28,NASA Astronaut Group 3,1963
57,28,NASA Astronaut Group 4,1963
58,29,NASA- 3,1963
59,29,NASA- 3,1963
60,30,NASA- 3,1963
61,31,NASA- 3,1963
62,100,NPOE-4,1978
63,101,1978 Intercosmos Group,1978
64,102,NASA- 7,1969
65,102,NASA- 7,1969
66,102,NASA- 7,1969
67,102,NASA- 7,1969
68,103,1978 Intercosmos Group,1978
69,104,NASA- 5,1966
70,104,NASA- 5,1966
71,105,1965 USAF MOL group 1,1969
72,105,1965 USAF MOL group 1,1969
73,106,"USAF MOL Group 2 
 NASA- 7",1969
74,106,"USAF MOL Group 2 
 NASA- 7",1969
75,107,TsPK-5,1970
76,108,CNES-1,1980
77,108,CNES-1,1980
78,109,NASA Astronaut Group 7,1969
79,109,NASA Astronaut Group 7,1969
80,109,NASA Astronaut Group 7,1969
81,110,NPOE-4,1978
82,32,TsPK-2,1964
83,33,NASA- 3,1963
84,34,TsPK-2,1963
85,34,TsPK-3,1963
86,34,TsPK-4,1963
87,35,TsPK-1,1960
88,35,TsPK-1,1960
89,36,Korolyov-Group / Mishin-Group / TsKBEM-1,1968
90,36,Korolyov-Group / Mishin-Group / TsKBEM-2,1968
91,36,Korolyov-Group / Mishin-Group / TsKBEM-3,1968
92,37,TsPK-1,1960
93,38,1963 NASA group 3,1963
94,39,TsPK-1,1960
95,40,Korolyov-Group / Mishin-Group / TsKBEM-1,1968
96,40,Korolyov-Group / Mishin-Group / TsKBEM-2,1968
97,40,Korolyov-Group / Mishin-Group / TsKBEM-3,1968
98,41,TsPK-2,1963
99,41,TsPK-3,1963
100,42,Korolyov-Group / Mishin-Group / TsKBEM-1,1968
