selection,mission
TsPK-1,Vostok-6
NASA Astronaut Group 1,AMC 16
NASA Astronaut Group 2,ST5
TsPK-2,Soyuz-9
TsPK-2,Soyuz-14
1960 NASA group 1,Gemini 6
1961 NASA group 1,Apollo 7
NASA- 1,Gemini 5
TsPK-1,Vostok-5
TsPK-2,Soyuz-22
TsPK-3,Soyuz-29
VVS Women,Vostok-6
TsPK-1,Voskhod
TsPK-2,Soyuz-1
Voskhod-1 / TsKBEM-1,Voskhod
Voskhod-1,Voskhod
TsPK-1,Voskhod-2
TsPK-2,Soyuz-19
NASA Astronaut Group 2,Gemini 3
1962 NASA group 2,Gemini 3
1963 NASA group 2,Gemini 10
1964 NASA group 2,Apollo 10
1965 NASA group 2,Apollo 16
1966 NASA group 2,TSS-1R
1967 NASA group 2,SES-9
NASA- 2,Gemini 4
NASA- 2,Apollo 9
1962 NASA group 2,Gemini 4
NASA- 2,Gemini 5
NASA- 2,Gemini 11
NASA- 2,Apollo 12
NASA- 2,Skylab 2
NASA- 2,Gemini 7
NASA- 2,Apollo 8
NASA- 2,Gemini 12
NASA- 2,Apollo 13
1996 NASA group,Gemini 6
1996 NASA group,Gemini 9
1996 NASA group,Apollo 10
1996 NASA group,ASTP
"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",Gemini 8
"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",Apollo 11
1963 NASA group 3,Gemini 8
1963 NASA group 3,Apollo 9
1963 NASA group 3,Apollo 15
NASA- 3,Gemini 9
NASA- 3,Apollo 10
NASA- 3,Apollo 17
NASA- 3,Gemini 10
NASA- 3,Apollo 11
NASA Astronaut Group 3,Gemini 11
NASA Astronaut Group 4,Apollo 12
NASA- 3,Gemini 12
NASA- 3,Apollo 7
NPOE-4,Salyut-7
1978 Intercosmos Group,Soyuz-39
NASA- 7,TSS-1R
NASA- 7,TESS
NASA- 7,GSAT-14
1978 Intercosmos Group,Soyuz-40
NASA- 5,STP S26
NASA- 5,ISS 5A.1
1965 USAF MOL group 1,STP S26
1965 USAF MOL group 1,ETS-8
"USAF MOL Group 2 
 NASA- 7",HST SM-3A
"USAF MOL Group 2 
 NASA- 7",SES-15
TsPK-5,Salyut-7
CNES-1,Salyut-7
CNES-1,STP S26
NASA Astronaut Group 7,HST SM-4
NASA Astronaut Group 7,TSS-1R
NASA Astronaut Group 7,ATS 6
TsPK-2,Soyuz-3
NASA- 3,Apollo 8
TsPK-2,Soyuz-4
TsPK-3,Soyuz-8
TsPK-4,Soyuz-10
TsPK-1,Soyuz-5
TsPK-1,Soyuz-21
Korolyov-Group / Mishin-Group / TsKBEM-1,Soyuz-4
Korolyov-Group / Mishin-Group / TsKBEM-2,Soyuz-8
Korolyov-Group / Mishin-Group / TsKBEM-3,Soyuz-10
TsPK-1,Soyuz-4
TsPK-1,Soyuz-6
Korolyov-Group / Mishin-Group / TsKBEM-1,Soyuz-6
Korolyov-Group / Mishin-Group / TsKBEM-2,Soyuz-19
Korolyov-Group / Mishin-Group / TsKBEM-3,Soyuz-35
TsPK-2,Soyuz-7
TsPK-3,Soyuz-16
Korolyov-Group / Mishin-Group / TsKBEM-1,Soyuz-7
Korolyov-Group / Mishin-Group / TsKBEM-1,Soyuz-11
TsPK-1,Soyuz-7
TsPK-2,Soyuz-24
TsPK-3,Soyuz-37
1963 NASA group 3,Apollo 12
1963 NASA group 3,Skylab 3
1966 NASA group 5,Apollo 13
NASA Astronaut Group 5,Apollo 13
Mishin-Group / TsKBEM-1,Soyuz-9
Mishin-Group / TsKBEM-2,Soyuz-18
1959 NASA group 1,Apollo 14
1966 NASA group 5,Apollo 14
NASA- 5,Apollo 14
Korolyov-Group / Mishin-Group / TsKBEM-1,Soyuz-10
Korolyov-Group / Mishin-Group / TsKBEM-2,Soyuz-16
Korolyov-Group / Mishin-Group / TsKBEM-3,Soyuz-33
TsPK-2,Soyuz-11
TsKBEM-1,Soyuz-11
1966 NASA group 5,Apollo 15
NASA- 5,Apollo 15
NASA- 5,Apollo 16
NASA- 5,HST SM-4
NASA- 5,Apollo 17
NASA-4,Apollo 17
1966 NASA group 5,Skylab 2
1966 NASA group 5,STP S26
NASA- 4,Skylab 2
NASA- 5,Skylab 3
NASA- 5,HST SM-3A
NASA Astronaut Group 4,Skylab 3
NASA Astronaut Group 5,SES-9
Voskhod-1 / TsPK-3,Soyuz-12
Korolyov-Group / Mishin-Group / TsKBEM-1,Soyuz-12
Korolyov-Group / Mishin-Group / TsKBEM-2,Soyuz-26
Korolyov-Group / Mishin-Group / TsKBEM-3,Soyuz T-3
NASA- 5,Skylab 4
NASA-5,Skylab 4
NASA Astronaut Group 4,Skylab 4
TsPK-3,Soyuz-13
TsPK-4,Salyut-4
TsPK-5,Salyut-6
TsKBEM-2 / AN-4,Soyuz-13
TsKBEM-2 / AN-5,Salyut-7
TsPK-3,Soyuz-15
TsPK-2,Soyuz-15
TsPK-2,Salyut-4
TsPK-3,Salyut-6
Korolyov-Group / Mishin-Group / TsKBEM-1 / AN-3,Salyut-4
Korolyov-Group / Mishin-Group / TsKBEM-1 / AN-4,Salyut-6
Korolyov-Group / Mishin-Group / TsKBEM-1 / AN-5,Soyuz-7
NASA- 5,ASTP
NASA- 5,ST5
NASA- 5,SBS 1
1959 NASA group 1,ASTP
TsPK-2,Soyuz-21
TsKBEM-3,Soyuz-22
TsKBEM-4,Soyuz T-2
TsPK-3,Soyuz-23
TsPK-3,Soyuz-24
TsPK-4,Soyuz-25
TsPK-6,Salyut-6
TsKBEM-3,Soyuz-25
TsKBEM-3,Salyut-6
TsKBEM-3,TSS-1R
TsPK-5,Soyuz-26
TsPK-5,Soyuz-38
TsPK-5,Soyuz-39
Air Gorce Group 6 - USSR,Soyuz-28
TsKBEM-4,Salyut-7
1976 Intercosmos Group,Soyuz-30
Interkosmos-1,Soyuz-31
TsPK-4,Salyut-6
TsPK-4,Salyut-7
TsPK-4,X-3
1978 Intercosmos Group,Soyuz-33
TsPK-7,Salyut-7
1978 Intercosmos Group,Soyuz-35
1979 Intercosmos Group,Salyut-6
1978 Intercosmos Group,Soyuz-38
TsPK-5,A-1
TsKBEM-3,Soyuz T-8
TsKBEM-3,Salyut-7
TsKBEM-3,P78-1
NPOE-4,Salyut-6
NPOE-4,Soyuz T-8
NPOE-4,P74-1
MAP,Salyut-7
MOL-2 / NASA-7,ST5
MOL-2 / NASA-7,SBS 1
NASA- 6,ST5
NASA- 6,ISS 5A.1
"1966 USAF MOL Gropu 2, NASA- 7",STP S26
"1966 USAF MOL Gropu 2, NASA- 7",SES-15
"1966 USAF MOL Gropu 2, NASA- 7",TJS 5
MOL-3 / NASA-7,STP S26
NASA-6,STP S26
NASA-6,SES-15
NASA-6,HST SM-4
NASA-6,TSS-1R
TsPK-6,Soyuz T-8
TsPK-7,X-3
TsPK-8,STP S26
NASA Astronaut Group 8,TESS
NASA Astronaut Group 8,ISS 5A.1
NASA Astronaut Group 8,STP S26
NASA- 8,TESS
NASA- 8,SES-15
NASA-8,TESS
NASA-8,GSAT-14
1978 NASA group,TESS
1978 NASA group,SBS 1
1978 NASA group,STP S26
1978 NASA group,P78-1
NASA- 8,ETS-8
NASA- 8,STP S26
NASA- 8,HST SM-4
NASA- 8,ATS 6
NASA- 8,SL31 JCSAT-9
NASA- 8,ST5
NASA Astronaut Group 8,ETS-8
1967 NASA group,ETS-8
1967 NASA group,SBS 1
1978 NASA group 8,SES-9
1979 NASA group 8,SBS 1
1980 NASA group 8,ST-2/GSAT-8
NASA-6,SES-9
NASA-6,ST5
NASA-9,Spacelab 1
NASA-9,Alcomsat 1
ESA-1,SES-9
ESA-1,STP S26
NASA Astronaut Group 8,SBS 1
NASA Astronaut Group 8,JCSAT 16
NASA Astronaut Group 8,HST SM-4
NASA Astronaut Group 8,TSS-1R
