name,manufacturer,length,diameter,launch_mass,dry_mass,thrust,burn_duration,engine
N-1 Blok-A,OKB1,30.0,14.0,1870.0,130000.0,45300.0,110.0,NK-15
N-1 Blok-B,OKB1,20.5,10.3,540.0,56000.0,14000.0,130.0,NK-15V
Saturn S-IC,BOMI,42.1,10.06,2286.0,135200.0,33500.0,170.0,F-1
Saturn S-II,NAASB,24.8,10.06,490.8,39000.0,4500.0,270.0,J-2
Starship V1.0,SPX,50.0,9.0,1470.0,120000.0,12000.0,330.0,Raptor SL
Super Heavy,SPX,68.0,9.0,3520.0,220000.0,72500.0,330.0,Raptor SL
ET,MMMI,47.0,8.4,748.0,27000.0,6300.0,516.0,SSME
Energiya,RKKE,58.1,7.75,780.0,80000.0,7850.0,480.0,RD-0120
8S810,OKB52,21.2,7.4,450.0,31000.0,9500.0,120.0,RD-253
8S810M,OKB52,21.2,7.4,450.0,30600.0,10500.0,120.0,RD-253 14D14
Saturn S-IVB,DACHB,18.7,6.6,120.0,13300.0,890.0,500.0,J-2
Saturn S-IB,CHRMI,24.4,6.53,448.7,41594.0,8240.0,155.0,H-1
Saturn S-I,MSFC,22.5,6.53,432.7,45250.0,5768.0,115.0,H-1
N-1 Blok-V,OKB1,12.5,6.4,185.0,13700.0,1610.0,400.0,NK-21
Saturn S-IV,MSFC,9.8,5.59,50.6,5217.0,400.2,482.0,RL10
Saturn S-IVD,MSFC,9.8,5.59,50.6,5217.0,400.2,482.0,RL10
ATB,RSLP,8.4,5.5,119.7,,,78.8,SR118
OV,RWI,37.2,5.49,110.0,80000.0,54.0,90.0,OMS
Ariane 5 EPC H158,NORLM,30.5,5.46,170.0,12700.0,1114.0,589.0,Vulcain
Ariane 5 EPC H175,NORLM,30.5,5.46,189.0,14200.0,1320.0,540.0,Vulcain 2
Ariane 5 EPS,DORN,4.9,5.46,12.5,2700.0,29.0,1100.0,Aestus
Ariane 5 EPS P2000,DORN,5.2,5.46,13.0,2850.0,29.0,1100.0,Aestus
ESC-A,ASTD,7.0,5.43,18.4,2000.0,64.0,945.0,HM-7B
ESC-D,ASTD,7.0,5.43,19.0,2000.0,64.0,945.0,HM-7B
Centaur V,LMA,11.7,5.4,22.9,2500.0,220.0,740.0,RL10CX
H-IIB Stage 1,MHITO,38.0,5.2,202.0,24000.0,2196.0,352.0,LE-7A
