lv_name,stage_number,stage_name,dummy
Starship V1.0,1,Starship V1.0,no
Energiya,0,Energiya Blok A,no
Energiya,1,Energiya,no
ATB,1,ATB,no
DC-XA,1,DC-XA,no
DC-X,1,DC-X,no
Ares I-X,1,Ares I-X,no
LM AS,1,LM AS,no
Dragon V2,1,Dragon V2,no
X-15,0,NB-52,no
X-15,1,X-15,no
Blue Streak,1,Blue Streak,no
Atlas A,0,Atlas A Booster,no
Atlas A,1,Atlas A,no
Atlas B,0,Atlas B Booster,no
Atlas B,1,Atlas B,no
Atlas C,0,Atlas C Booster,no
Atlas C,1,Atlas C,no
Atlas D,0,Atlas D Booster,no
Atlas D,1,Atlas D,no
Atlas E,0,Atlas E/F Booster,no
Atlas E,1,Atlas E,no
Atlas F,0,Atlas E/F Booster,no
Atlas F,1,Atlas F,no
Atlas SLV-3,0,Atlas Booster,no
Atlas SLV-3,1,Atlas SLV-3,no
Atlas H,0,Atlas Booster,no
Atlas H,1,Atlas H,no
Atlas I,0,Atlas Booster,no
Atlas I,1,Atlas I,no
Atlas I,2,Centaur I,no
Atlas II,0,Atlas Booster,no
Atlas II,1,Atlas II,no
Atlas II,2,Centaur II,no
A-350,1,A-350 Booster,no
A-350,2,A-350,no
A-350Zh,1,A-350Zh Booster,no
A-350Zh,2,A-350Zh,no
A-925,1,A-925 Booster,no
A-925,2,A-925,no
Nudol',1,Nudol' Booster,no
Nudol',2,Nudol',no
Thor DM-18,1,Thor DM-18,no
Thor DM-18A,1,Thor DM-18A,no
Thor DM-18C,1,Thor DM-18C,no
R-14,1,R-14,no
Burya,1,Burya booster,no
Burya,2,Burya,no
Black Arrow,1,Black Arrow,no
Black Arrow,2,Black Arrow St2,no
Black Arrow,3,Waxwing,no
Black Arrow,3,Waxwing,yes
Start,1,15Zh58A,no
Start,2,15Zh58B,no
Start,3,15Zh58B,no
Start,4,15Zh58V,no
Start,5,Start,no
Start,6,DS,no
Redstone,1,Redstone,no
Redstone MRLV,1,Redstone MRLV,no
Falcon 1,1,Falcon 1,no
Falcon 1,2,Falcon 1 St 2,no
Falcon 1,F,Falcon 1,no
R-5,1,R-5,no
R-12,1,R-12,no
R-UNK,1,R-UNK,no
DF-1,1,DF-1,no
DF-2,1,DF-2,no
DF-2A,1,DF-2A,no
V-2,1,V-2,no
R-1,1,R-1,no
A-1,1,A-1,no
R-2,1,R-2,no
CE-5 SSQ,1,CE-5 SSQ,no
Khorramshahr,1,Khorramshahr,no
Spaceship One,0,White Knight,no
Spaceship One,1,Spaceship One,no
Spaceship Two,0,White Knight 2,no
Spaceship Two,1,Spaceship Two,no
Alfa,1,Alfa,no
DF-21,1,DF-21,no
DF-21,2,DF-21 St2,no
DF-26,1,DF-26,no
DF-26,2,DF-26,no
Jericho II,1,Jericho II,no
Shavit 1,1,Shavit 1,no
Shavit 1,2,ATSM-9,no
Shavit 1,3,AUS-51,no
SR19,1,SR19AJ1,no
R-21,1,R-21,no
R-13,1,R-13,no
V-825,0,V-825 Booster,no
V-825,1,V-825,no
Sejjil,1,Sejjil,no
Sejjil,2,Sejjil Stage 2,no
Hwasong-7,1,Hwasong-7,no
Shahab 3,1,Shahab 3,no
Emad,1,Emad,no
Ghauri,1,Ghauri,no
Scud D,1,Scud D,no
AMROC IRR,1,AMROC IRR,no
Hyunmoo-2A,1,Hyunmoo-2A,no
Hyunmoo-2B,1,Hyunmoo-2B,no
Hyunmoo-2C,1,Hyunmoo-2C,no
Hyunmoo-4,1,Hyunmoo-4,no
DF-16,1,DF-16,no
Hermes A-3B,1,Hermes A-3B,no
SICBM,1,SICBM,no
SICBM,2,SICBM St 2,no
SICBM,3,SICBM St 3,no
SICBM,4,SICBM PBS,no
M56A1,1,M56A1,no
Viking Type 9,1,Viking Type 9,no
Vanguard,1,Vanguard,no
Vanguard,2,AJ10,no
Vanguard,3,GCR 33KS2800,no
Vanguard,3,X-248,no
TR-1,1,TR-1,no
TR-1A,1,TR-1A,no
Prithvi,1,Prithvi,no
Dolphin,1,Dolphin,no
Hermes A-3A,1,Hermes A-3A,no
Castor 4A,1,Castor 4A,no
Castor 4B,1,Castor 4B,no
Temp,1,Temp,no
Temp-S,1,Temp-S,no
Orion LAS,1,Orion LAS,no
KSR-III,1,KSR-III,no
Vesta,1,Vesta,no
DF-15,1,DF-15,no
V-1000,0,V-1000 Booster,no
V-1000,1,V-1000,no
Oka,1,Oka,no
Iskander,1,Iskander,no
KN-23,1,KN-23,no
